sites,averaging_period,inlet,instrument,fp_height
BIR,4H,75magl,,75magl
BSD,4H,248magl,,248magl
CBW,4H,207magl,,200magl
CMN,4H,8magl,,500magl
GAT,4H,341magl,,341magl
HEI,4H,30magl,,30magl
HEL,4H,110magl,,110magl
HFD,4H,100magl,,100magl
HPB,4H,131magl,,130magl
HTM,4H,150magl,,150magl
HUN,4H,115magl,,115magl
JFJ,4H,,,1000magl
KIT,4H,200magl,,200magl
KRE,4H,250magl,,250magl
LIN,4H,98magl,,98magl
LUT,4H,60magl,,60magl
MHD,4H,24magl,,10magl
NOR,4H,100magl,,100magl
OPE,4H,120magl,,120magl
OXK,4H,163magl,,163magl
PAL,4H,12magl,,10magl
RGL,4H,90magl,,90magl
SAC,4H,100magl,,100magl
STE,4H,252magl,,252magl
TAC,4H,185magl,,185magl
TOB,4H,12magl,,10magl
TOH,4H,147magl,,147magl
TRN,4H,180magl,,180magl
UTO,4H,57magl,,57magl
WAO,4H,10magl,,20magl
